z,x,y,brightness,homolog,cell_id,genomic_coordinate,AB_compartment
3.484548326534869,189.66509348617876,94.61523398110738,4.64876609552905,1,7_27_2019__Conv_zscan_09__cell9,chr1:2950000-3050000,B
3.751063362882077,190.79511515545195,93.28260894738521,1.970496751890136,1,7_27_2019__Conv_zscan_09__cell9,chr1:5950000-6050000,B
4.258691049202375,191.19471171636076,93.40984157300855,4.135392294021403,1,7_27_2019__Conv_zscan_09__cell9,chr1:8950000-9050000,A
4.576135012295732,190.70036567063832,93.2586547933844,3.939482323777068,1,7_27_2019__Conv_zscan_09__cell9,chr1:11950000-12050000,A
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:14950000-15050000,B
4.934313852032293,190.47648645656216,94.33142020166912,3.1196502327451348,1,7_27_2019__Conv_zscan_09__cell9,chr1:17950000-18050000,B
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:20950000-21050000,A
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:23950000-24050000,A
4.197175365014732,189.48116405833662,93.02708812679326,7.266435599218755,1,7_27_2019__Conv_zscan_09__cell9,chr1:26950000-27050000,A
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:29950000-30050000,B
3.787379664060971,189.11452958877712,93.90841636213582,3.3787207530763506,1,7_27_2019__Conv_zscan_09__cell9,chr1:32950000-33050000,A
4.179519285708098,190.3456982326516,94.23020556664163,3.238439548721843,1,7_27_2019__Conv_zscan_09__cell9,chr1:35950000-36050000,A
3.938541533381401,190.95434582647022,93.30504746237928,6.12661221183547,1,7_27_2019__Conv_zscan_09__cell9,chr1:38950000-39050000,A
3.951852776659123,191.6861887964492,92.78898060507419,5.61406819592697,1,7_27_2019__Conv_zscan_09__cell9,chr1:41950000-42050000,B
3.8813038133617823,190.63047234173075,93.84037651834613,3.4496280561025086,1,7_27_2019__Conv_zscan_09__cell9,chr1:44950000-45050000,A
4.98695891263911,191.42478217879955,94.18188804918339,2.7192166537248115,1,7_27_2019__Conv_zscan_09__cell9,chr1:47950000-48050000,B
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:50950000-51050000,B
4.168285867341923,192.38880587213396,92.57921224409517,2.8567509624668315,1,7_27_2019__Conv_zscan_09__cell9,chr1:53950000-54050000,A
4.468233329581132,192.56817784975885,93.37271792063434,6.3813822317267626,1,7_27_2019__Conv_zscan_09__cell9,chr1:56950000-57050000,B
4.680152304496462,192.34774264199427,93.73412511911843,2.0978040828694424,1,7_27_2019__Conv_zscan_09__cell9,chr1:59950000-60050000,B
4.536304155269936,191.36540204054222,94.81495759244918,0.9849375414500339,1,7_27_2019__Conv_zscan_09__cell9,chr1:62950000-63050000,B
4.696122112434151,191.79808814504642,93.05637263007912,3.1821843153466585,1,7_27_2019__Conv_zscan_09__cell9,chr1:65950000-66050000,B
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:68950000-69050000,B
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:71950000-72050000,B
3.532701537981631,190.9166448370628,92.83572166497038,2.976884836184011,1,7_27_2019__Conv_zscan_09__cell9,chr1:74950000-75050000,B
3.8492207715275004,190.66707373523073,92.88482249690972,3.011912794460615,1,7_27_2019__Conv_zscan_09__cell9,chr1:77950000-78050000,A
3.8111716393460426,192.34346604694656,94.22104201472361,0.8581234302366186,1,7_27_2019__Conv_zscan_09__cell9,chr1:80950000-81050000,B
4.101395501949663,191.58842077418063,91.83476880583486,1.9639784381192604,1,7_27_2019__Conv_zscan_09__cell9,chr1:83950000-84050000,B
4.15739848415,191.5808675676753,92.1441844491008,0.6535735166868645,1,7_27_2019__Conv_zscan_09__cell9,chr1:86950000-87050000,A
3.9301287570275267,190.93916506122662,92.94495328219013,0.4587633359334436,1,7_27_2019__Conv_zscan_09__cell9,chr1:89950000-90050000,A
3.9989634596904553,191.2140965270491,92.00738012806015,0.8959418616924608,1,7_27_2019__Conv_zscan_09__cell9,chr1:92950000-93050000,A
3.6283722526719124,190.49298476601652,91.9906514531052,1.376991203832721,1,7_27_2019__Conv_zscan_09__cell9,chr1:95950000-96050000,B
4.144195029286961,191.94058307447295,92.30481740711744,2.4239376690809067,1,7_27_2019__Conv_zscan_09__cell9,chr1:98950000-99050000,B
,,,,1,7_27_2019__Conv_zscan_09__cell9,chr1:101950000-102050000,B
3.2830483535920525,190.76378379993236,93.70529758290154,1.2206369734997518,1,7_27_2019__Conv_zscan_09__cell9,chr1:104950000-105050000,B
3.8179673407215193,192.0475126948315,92.17373218650265,2.7964803658374957,1,7_27_2019__Conv_zscan_09__cell9,chr1:107950000-108050000,B
3.381980556067939,193.96853624069536,90.46201068979582,2.333674567545005,1,7_27_2019__Conv_zscan_09__cell9,chr1:110950000-111050000,B
