z,x,y,brightness,homolog,cell_id,genomic_coordinate,AB_compartment
3.415750050795525,95.08398531050419,18.481699735846117,5.464559869658688,1,7_27_2019__Conv_zscan_03__cell0,chr1:2950000-3050000,B
3.9021467675647465,97.90964814630702,18.025339185341547,9.679500652875536,1,7_27_2019__Conv_zscan_03__cell0,chr1:5950000-6050000,B
3.8752693458178697,97.83462100317236,19.006163948955397,5.77974876399798,1,7_27_2019__Conv_zscan_03__cell0,chr1:8950000-9050000,A
3.4497279135564014,97.82659600544464,18.213785135406376,12.230604643937449,1,7_27_2019__Conv_zscan_03__cell0,chr1:11950000-12050000,A
4.067993201941642,97.61736792673358,16.93274039237273,5.509750407024855,1,7_27_2019__Conv_zscan_03__cell0,chr1:14950000-15050000,B
3.4772455989974946,97.4276727148222,16.58751639740192,2.6715327181900212,1,7_27_2019__Conv_zscan_03__cell0,chr1:17950000-18050000,B
4.345239614882074,93.29749566531956,13.875567878535662,0.9199009997427091,1,7_27_2019__Conv_zscan_03__cell0,chr1:20950000-21050000,A
,,,,1,7_27_2019__Conv_zscan_03__cell0,chr1:23950000-24050000,A
4.0167415171990335,97.49556312507946,18.031276768735136,7.963899265244136,1,7_27_2019__Conv_zscan_03__cell0,chr1:26950000-27050000,A
4.63345163919339,96.83385577567168,16.54684292750755,2.7691351616275455,1,7_27_2019__Conv_zscan_03__cell0,chr1:29950000-30050000,B
4.222672689405509,98.0357952191067,17.80854570504203,5.6743064300041315,1,7_27_2019__Conv_zscan_03__cell0,chr1:32950000-33050000,A
4.25374154786567,97.19550676088807,16.64613301293491,1.647273784427385,1,7_27_2019__Conv_zscan_03__cell0,chr1:35950000-36050000,A
3.8705040233548775,97.78035818577727,17.28793041976447,3.924511828486156,1,7_27_2019__Conv_zscan_03__cell0,chr1:38950000-39050000,A
4.530647965813976,97.04573837237604,17.02638259689764,4.189974200117968,1,7_27_2019__Conv_zscan_03__cell0,chr1:41950000-42050000,B
3.7570828721835543,97.06659725841789,17.295946637773014,9.684595224020764,1,7_27_2019__Conv_zscan_03__cell0,chr1:44950000-45050000,A
